Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2020,Washoe,NV,Passenger,1,0,1,110,111,0.90
November 30 2019,Suffolk,MA,Passenger,0,1,1,37,38,2.63
June 30 2021,Marion,IA,Passenger,1,0,1,1,2,50.00
July 31 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
April 30 2023,Middlesex,NJ,Passenger,1,0,1,18,19,5.26
May 31 2019,Grant,WA,Passenger,39,59,98,64554,64652,0.15
December 31 2021,Island,WA,Truck,0,0,0,21483,21483,0.00
April 30 2019,Kootenai,ID,Passenger,1,2,3,216,219,1.37
August 31 2022,Berkeley,SC,Passenger,0,1,1,117,118,0.85
October 31 2019,Lee,FL,Passenger,1,0,1,53,54,1.85
July 31 2021,Larimer,CO,Passenger,1,0,1,51,52,1.92
July 31 2022,Pend Oreille,WA,Truck,0,0,0,5646,5646,0.00
October 31 2021,Walla Walla,WA,Truck,0,0,0,14048,14048,0.00
September 30 2017,Kittitas,WA,Truck,0,0,0,13658,13658,0.00
June 30 2020,Kittitas,WA,Truck,0,0,0,14590,14590,0.00
October 31 2020,Jefferson,WA,Truck,0,0,0,9572,9572,0.00
October 31 2023,Kittitas,WA,Passenger,432,113,545,29278,29823,1.83
October 31 2019,,,Passenger,6,2,8,417,425,1.88
September 30 2019,DeKalb,GA,Passenger,1,0,1,83,84,1.19
May 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2023,Napa,CA,Passenger,0,1,1,12,13,7.69
January 31 2020,Jefferson,WA,Passenger,224,139,363,25206,25569,1.42
July 31 2021,Grays Harbor,WA,Passenger,176,146,322,49495,49817,0.65
January 31 2019,Skagit,WA,Passenger,270,186,456,91355,91811,0.50
November 30 2017,Sacramento,CA,Passenger,1,1,2,331,333,0.60
August 31 2017,Jackson,MO,Passenger,1,0,1,59,60,1.67
October 31 2018,Lewis,WA,Passenger,88,72,160,58039,58199,0.27
March 31 2020,Columbia,WA,Passenger,3,3,6,2417,2423,0.25
June 30 2018,Travis,TX,Passenger,1,1,2,198,200,1.00
October 31 2023,St. Louis,MO,Passenger,1,0,1,50,51,1.96
July 31 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
March 31 2017,Arlington,VA,Passenger,1,1,2,171,173,1.16
July 31 2022,Palm Beach,FL,Passenger,0,1,1,58,59,1.69
May 31 2023,Williamsburg,VA,Passenger,0,1,1,5,6,16.67
February 29 2024,Newport News,VA,Passenger,1,0,1,83,84,1.19
November 30 2021,Saginaw,MI,Passenger,1,0,1,8,9,11.11
August 31 2022,Snohomish,WA,Truck,45,0,45,123129,123174,0.04
July 31 2018,Spokane,WA,Passenger,347,320,667,303964,304631,0.22
April 30 2023,El Paso,TX,Passenger,3,0,3,307,310,0.97
January 31 2021,Maricopa,AZ,Passenger,5,8,13,1404,1417,0.92
June 30 2018,San Juan,WA,Truck,0,0,0,5710,5710,0.00
November 30 2022,Clallam,WA,Truck,8,0,8,21870,21878,0.04
January 31 2020,Middlesex,MA,Passenger,1,0,1,104,105,0.95
April 30 2018,Madison,ID,Passenger,1,0,1,37,38,2.63
February 28 2019,Albemarle,VA,Passenger,1,0,1,25,26,3.85
September 30 2022,Mercer,NJ,Passenger,0,1,1,14,15,6.67
September 30 2017,New Haven,CT,Passenger,0,1,1,55,56,1.79
February 28 2019,Mason,WA,Truck,0,0,0,20220,20220,0.00
August 31 2023,San Bernardino,CA,Passenger,3,1,4,282,286,1.40
June 30 2022,Clackamas,OR,Passenger,2,0,2,150,152,1.32
December 31 2020,Fort Bend,TX,Passenger,1,0,1,41,42,2.38
December 31 2019,Cochise,AZ,Passenger,0,1,1,104,105,0.95
October 31 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
